window_id,truth_regime,predicted_regime,policy,throughput,latency,pressure,coherence,regime_confidence,pareto_efficient,throughput_score,latency_score,pressure_score,coherence_score_obj,objective_throughput_first,objective_latency_first,objective_balanced_constraint,objective_profile,objective_score
29,clustered_ranges,clustered_ranges,guarded_fallback,1219.1876441541776,0.8462488550228394,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
30,low_entropy_repeating,low_entropy_repeating,coherent_local,1706.0395727015107,0.5945697416189278,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
31,sequential_ids,sequential_ids,simd,1452.8334708420352,0.6886516587027556,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
32,uniform_32bit,uniform_32bit,simd,1879.331057160731,0.5357655472130592,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
33,zipfian_smallints,zipfian_smallints,hybrid,1549.052271267351,0.6403913202509002,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
34,clustered_ranges,clustered_ranges,guarded_fallback,1177.9390962521895,0.8758103143525976,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
35,low_entropy_repeating,low_entropy_repeating,coherent_local,1754.1997798563027,0.5786080729619111,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
36,sequential_ids,sequential_ids,simd,1454.7715694046638,0.687729391110884,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
37,uniform_32bit,uniform_32bit,simd,1905.2221814608242,0.5285432862240859,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
38,zipfian_smallints,zipfian_smallints,hybrid,1524.2611878924888,0.6506276385476175,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
39,clustered_ranges,clustered_ranges,guarded_fallback,1199.9078063990387,0.8600660720806889,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
40,low_entropy_repeating,low_entropy_repeating,coherent_local,1752.3778538061706,0.5792119113099548,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
41,sequential_ids,sequential_ids,hybrid,1392.9834077452829,0.7135584146434636,0.27,0.613,0.95,True,0.8882668870676133,0.9437765159310529,0.6428571428571426,0.6428571428571442,0.8352408953445117,0.8574447468898876,0.7917099093887618,throughput_first,0.8352408953445117
42,uniform_32bit,uniform_32bit,simd,1862.1978075444224,0.5405448221060296,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
43,zipfian_smallints,zipfian_smallints,hybrid,1533.819334278656,0.6466810490720387,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
44,clustered_ranges,clustered_ranges,guarded_fallback,1180.4810146997993,0.8739886061318104,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
45,low_entropy_repeating,low_entropy_repeating,coherent_local,1799.2671710461439,0.5636714518818494,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
46,sequential_ids,sequential_ids,simd,1437.1521224462942,0.696113817594522,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
47,uniform_32bit,uniform_32bit,simd,1838.8022626524482,0.5470709477864223,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
48,zipfian_smallints,zipfian_smallints,hybrid,1599.504995354658,0.6195592277245284,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
49,clustered_ranges,clustered_ranges,guarded_fallback,1252.2912090463271,0.8225246335167987,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
50,low_entropy_repeating,low_entropy_repeating,coherent_local,1795.3783131656467,0.5649603304936713,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
51,sequential_ids,sequential_ids,simd,1459.456162119649,0.6855001711292704,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
52,uniform_32bit,uniform_32bit,simd,1892.4079565347447,0.5321177805455711,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
53,zipfian_smallints,zipfian_smallints,hybrid,1550.0019621393756,0.6399991898263224,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
54,clustered_ranges,clustered_ranges,guarded_fallback,1237.6770295607505,0.8329981288147953,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
55,low_entropy_repeating,low_entropy_repeating,coherent_local,1720.7991988604351,0.5896779798062557,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
56,sequential_ids,sequential_ids,hybrid,1376.680955627296,0.7218260867890142,0.27,0.613,0.95,True,0.8838501098951983,0.9415223334816268,0.6428571428571426,0.6428571428571442,0.8322527016736488,0.8553215911082203,0.7898213306246807,throughput_first,0.8322527016736488
57,uniform_32bit,uniform_32bit,simd,1907.5159403241607,0.5279034482253657,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
58,zipfian_smallints,zipfian_smallints,hybrid,1544.4932313501497,0.6422737625392929,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
59,clustered_ranges,clustered_ranges,guarded_fallback,1168.3790079153855,0.8826617109939737,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
60,low_entropy_repeating,low_entropy_repeating,coherent_local,1772.6754853595774,0.5724846962808257,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
61,sequential_ids,sequential_ids,hybrid,1436.3785437136087,0.6915508814023841,0.27,0.613,0.95,True,0.9809462313522744,1.0,0.6428571428571426,0.6428571428571442,0.8992820245256505,0.9069035319847407,0.8335695836913969,throughput_first,0.8992820245256505
62,uniform_32bit,uniform_32bit,simd,1912.513970349493,0.5265092609025098,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
63,zipfian_smallints,zipfian_smallints,hybrid,1522.6044407625795,0.6513117147819026,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
64,clustered_ranges,clustered_ranges,guarded_fallback,1213.5156417971625,0.8503137900453668,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
65,low_entropy_repeating,low_entropy_repeating,coherent_local,1748.2424792114223,0.5805824926042142,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
66,sequential_ids,sequential_ids,simd,1463.8663603870248,0.6834015250572087,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
67,uniform_32bit,uniform_32bit,simd,1880.8725020941974,0.5353355652053029,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
68,zipfian_smallints,zipfian_smallints,hybrid,1587.5768750983905,0.6244843870561484,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
69,clustered_ranges,clustered_ranges,guarded_fallback,1171.531300809829,0.8804025677529559,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
70,low_entropy_repeating,low_entropy_repeating,coherent_local,1735.0127288850529,0.5849672098552396,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
71,sequential_ids,sequential_ids,simd,1455.0982194161966,0.6875739507605684,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
72,uniform_32bit,uniform_32bit,simd,1910.9267251340746,0.5269520187783897,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
73,zipfian_smallints,zipfian_smallints,hybrid,1569.6319556787837,0.6318939021713409,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
74,clustered_ranges,clustered_ranges,guarded_fallback,1215.152761204021,0.8491405211371181,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
75,low_entropy_repeating,low_entropy_repeating,coherent_local,1697.407539833254,0.5974306439409786,0.056,0.9479,0.95,True,0.978689837757139,1.0,1.0,1.0,0.9872139026542834,0.9957379675514278,0.9936069513271417,throughput_first,0.9872139026542834
76,sequential_ids,sequential_ids,simd,1478.4827273957167,0.6764461504116935,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
77,uniform_32bit,uniform_32bit,simd,1912.5296432714842,0.526504888982165,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
78,zipfian_smallints,zipfian_smallints,hybrid,1566.3204218096444,0.6332612451882759,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
79,clustered_ranges,clustered_ranges,guarded_fallback,1209.5411647008264,0.8531621652977411,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
80,low_entropy_repeating,low_entropy_repeating,coherent_local,1771.5388724797074,0.5728614022638684,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
81,sequential_ids,sequential_ids,simd,1447.443457860613,0.6912165614318461,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
82,uniform_32bit,uniform_32bit,simd,1833.4919405843234,0.548552248152794,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
83,zipfian_smallints,zipfian_smallints,hybrid,1581.4708719324883,0.6270055754601338,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
84,clustered_ranges,clustered_ranges,guarded_fallback,1173.3503427738297,0.8790989210120886,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
85,low_entropy_repeating,low_entropy_repeating,coherent_local,1795.1702080681073,0.565029302468856,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
86,sequential_ids,sequential_ids,hybrid,1419.4942368229383,0.7001136370397957,0.27,0.613,0.95,True,0.8954499190709678,0.9483623024337617,0.6428571428571426,0.6428571428571442,0.8402385825219308,0.8614035358670484,0.7950112656154453,throughput_first,0.8402385825219308
87,uniform_32bit,uniform_32bit,simd,1884.7838432063536,0.5342445068950697,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
88,zipfian_smallints,zipfian_smallints,hybrid,1542.030221992403,0.6432907470482981,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
89,clustered_ranges,clustered_ranges,guarded_fallback,1220.062664002393,0.8456217574649518,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
90,low_entropy_repeating,low_entropy_repeating,coherent_local,1801.2140797033153,0.5630261907269012,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
91,sequential_ids,sequential_ids,simd,1473.408223424894,0.6788609143702229,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
92,uniform_32bit,uniform_32bit,simd,1876.2489890304419,0.5366252820072978,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
93,zipfian_smallints,zipfian_smallints,hybrid,1527.6313815450574,0.6492360747168796,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
94,clustered_ranges,clustered_ranges,guarded_fallback,1203.335861689477,0.8576092991225416,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
