name,n,min,max,unique_count,repetition_ratio,approx_entropy_bits,delta_mean,delta_std,delta_abs_mean
zipfian_smallints,100000,1,6710887487477844992,19448,0.80552,0.010547423928959949,-0.018090180901809017,6.420749428664385e+16,1053514513380541.4
low_entropy_repeating,100000,1,4,4,0.99996,2.0,3.000030000300003e-05,1.732033486541174,1.4999849998499986
clustered_ranges,100000,0,100999,2000,0.98,3.3915442875102677,1.001960019600196,70805.55761499607,50299.29062290623
uniform_32bit,100000,3736,4294940379,99999,9.99999999995449e-06,8.996279572473444,36419.87945879459,1755981859.5018458,1434649216.9384093
sequential_ids,100000,0,99999,100000,0.0,8.999995939964547,1.0,0.0,1.0
