name,digit_length_entropy,digit_length_transition_rate,locality_small_delta_ratio,cache_window_reuse_proxy,branch_pressure_score,delta_abs_mean,repetition_ratio,delta_scale,digit_entropy_scale,branch_pressure_norm,locality_norm,reuse_norm,simd_suitability,scalar_suitability,estimated_scalar_throughput,estimated_simd_throughput,estimated_speedup_simd_over_scalar
uniform_32bit,0.9,0.37,0.0,0.0,0.72,1400000000.0,1e-05,1.0,0.37190082644628103,0.9102564102564101,0.0,0.0,0.6154111040474677,0.08524581479126936,0.7278801544221125,1.052518878266256,1.4460057357957294
zipfian_smallints,2.42,0.74,0.27,0.35,0.72,70000000.0,0.8,0.8529094890934348,1.0,0.9102564102564101,0.27,0.35,0.6684542186185997,0.22193589743589748,0.8023937738330047,1.100196477786539,1.371142839918787
clustered_ranges,1.25,0.55,0.0,0.01,0.79,50000.0,0.98,0.4972187616716893,0.5165289256198348,1.0,0.0,0.01,0.45165879799004993,0.05134710743801653,0.6767004958677686,0.8158436263719404,1.2056199623819417
sequential_ids,0.52,0.0,1.0,0.0,0.2,1.0,0.0,0.0,0.21487603305785125,0.24358974358974358,1.0,0.0,0.39282157236702686,0.6176149607967789,1.3667110507984634,1.4783740382577795,1.0817019716011516
low_entropy_repeating,0.0,0.0,1.0,0.94,0.01,1.5,0.99996,0.010956352610931764,0.0,0.0,1.0,0.94,0.26283472341382613,0.9819999999999999,1.7856,1.473102502144887,0.8249902005739733
