macro_route,budget_strategy,windows,mean_adjusted_constraint_score,mean_adjusted_stability,mean_budget_regret,avoided_fallback_rate,allocation_rate
macro_0,cgcs_balanced_budget,7271,0.5771085146753787,0.5885111130292684,0.08550266997897547,0.017879246321001237,0.759730435978545
macro_0,forecast_first,7271,0.5746640778716378,0.5892221569021883,0.08468361956061554,0.017879246321001237,0.7320863705129969
macro_0,pressure_first,7271,0.5747892325958848,0.5880943890573251,0.08412058071614667,0.017879246321001237,0.7384128730573511
macro_0,regret_minimizing_budget,7271,0.5727182657412568,0.586273456585863,0.08648270458157485,0.017879246321001237,0.7258974006326503
macro_0,uniform_budget,7271,0.576345414689132,0.5873654659380843,0.08640805201804229,0.017879246321001237,0.7572548480264063
macro_1,cgcs_balanced_budget,7176,0.5758300157267388,0.5876221102562634,0.08663237559556239,0.016304347826086956,0.762263099219621
macro_1,forecast_first,7176,0.5722983825048881,0.5878255662205888,0.08619919932114017,0.016304347826086956,0.7260312151616499
macro_1,pressure_first,7176,0.573532705247363,0.5873169263097751,0.08491737222206747,0.016304347826086956,0.7406633221850614
macro_1,regret_minimizing_budget,7176,0.5711715012339851,0.5853213856185823,0.08781662985771124,0.016304347826086956,0.7260312151616499
macro_1,uniform_budget,7176,0.5750122202975302,0.5865170377924953,0.08752390781454596,0.016304347826086956,0.7590579710144928
macro_2,cgcs_balanced_budget,7237,0.5779132592824203,0.5897118198399012,0.08375693974208626,0.014232416747270969,0.7627469946110267
macro_2,forecast_first,7237,0.5750606960656177,0.5902203178363086,0.08280939146883545,0.014232416747270969,0.7319331214591681
macro_2,pressure_first,7237,0.5757652697840093,0.589421644352821,0.08209205408425817,0.014232416747270969,0.7425728893187785
macro_2,regret_minimizing_budget,7237,0.5727594662742678,0.5871638027057295,0.08530400445844243,0.014232416747270969,0.7226751416332735
macro_2,uniform_budget,7237,0.5767795022007567,0.5884820284898943,0.08479858111640566,0.014232416747270969,0.756943484869421
macro_3,cgcs_balanced_budget,7162,0.5772028529521487,0.5881281893790069,0.08274141693281747,0.011868193242111143,0.763334264172019
macro_3,forecast_first,7162,0.5732356650158181,0.5882482675694565,0.0821546166965693,0.011868193242111143,0.7231220329516894
macro_3,pressure_first,7162,0.5746079074062118,0.5876674242296073,0.08131488645305088,0.011868193242111143,0.7394582518849483
macro_3,regret_minimizing_budget,7162,0.5719077538178287,0.5856386613142206,0.08431323802390527,0.011868193242111143,0.7215861491203575
macro_3,uniform_budget,7162,0.5759715628097305,0.586881330959571,0.08406754786643106,0.011868193242111143,0.7566322256352974
macro_4,cgcs_balanced_budget,7154,0.5765593250818367,0.5866000597311929,0.08415916815183591,0.012859938495946324,0.7558009505171932
macro_4,forecast_first,7154,0.5731291461609533,0.5868362912100858,0.08373543378084596,0.012859938495946324,0.7204361196533408
macro_4,pressure_first,7154,0.5738466468598631,0.5861010382047741,0.08270552376532381,0.012859938495946324,0.7309197651663405
macro_4,regret_minimizing_budget,7154,0.5719969124455493,0.5843202162869658,0.08485548731616062,0.012859938495946324,0.7204361196533408
macro_4,uniform_budget,7154,0.5754215699797959,0.5854384718083525,0.08521998789764085,0.012859938495946324,0.7496505451495666
