prototype,parent_route,memory_stability_score,usage_count,windows,mean_child_switch,mean_parent_switch,mean_stability,split_candidate
low_entropy_repeating,parent_2,0.56,32,37,0.7707207207207207,0.5441441441441441,0.3537387387387388,True
sequential_ids,parent_1,0.38,22,20,0.8166666666666667,0.5462499999999999,0.3332083333333334,True
uniform_32bit,parent_0,0.58,36,36,0.7851851851851852,0.4862433862433862,0.37947089947089946,False
zipfian_smallints,parent_0,0.49,26,38,0.7992367281840966,0.5310321257689679,0.34925153793574854,True
clustered_ranges,parent_0,0.42,20,31,0.7867659222497932,0.5137303556658396,0.3622249793217535,False
learned_drift_prototype,parent_0,0.6,64,58,0.12873563218390804,0.11149425287356322,0.8801149425287357,False
