name,approx_entropy_bits,repetition_ratio,unique_count,delta_abs_mean,branch_pressure_score,digit_length_entropy,locality_small_delta_ratio,cache_window_reuse_proxy,simd_suitability,scalar_suitability,estimated_speedup_simd_over_scalar,entropy_norm,delta_norm,branch_norm,speedup_norm,structure_regularization,execution_alignment,fragmentation_score,coherence_score,regime
clustered_ranges,3.39,0.98,2000,50000.0,0.79,1.25,0.0,0.01,0.45,0.05,1.2,0.3759733036707453,0.4972187616716893,1.0,0.6031746031746031,0.15,0.4462698412698413,0.9975,0.22419444444444445,fragmented-irregular
low_entropy_repeating,2.0,0.99996,4,1.5,0.01,0.0,1.0,0.94,0.26,0.98,0.82,0.22135706340378197,0.010956352610931764,0.0,0.0,0.9819939999999998,0.30200000000000005,0.015000000000000013,0.7445972999999999,coherent-local
sequential_ids,9.0,0.0,100000,1.0,0.2,0.52,1.0,0.0,0.39,0.62,1.08,1.0,0.0,0.24358974358974358,0.4126984126984129,0.5012820512820513,0.48307936507936516,0.3596153846153846,0.522731623931624,scalar-favorable
uniform_32bit,9.0,1e-05,99999,1400000000.0,0.72,0.9,0.0,0.0,0.62,0.08,1.45,1.0,1.0,0.9102564102564101,1.0,0.017950217948717977,0.6480000000000001,0.9596153846153845,0.24295452115384622,simd-favorable
zipfian_smallints,0.01,0.80552,19448,70000000.0,0.72,2.42,0.27,0.35,0.67,0.22,1.37,0.0,0.8529094890934348,0.9102564102564101,0.8730158730158732,0.33827671794871794,0.6492063492063493,0.7911153846153846,0.42122366837606845,simd-favorable
