name,n,digit_length_min,digit_length_max,digit_length_entropy,digit_length_transition_rate,locality_small_delta_ratio,cache_window_reuse_proxy,unique_ratio,repetition_ratio,branch_pressure_score,delta_abs_mean
clustered_ranges,100000,1,6,1.2525064880651968,0.5455254552545525,0.016080160801608016,0.015294894366197184,0.02,0.98,0.7867994197107464,50299.29062290623
zipfian_smallints,100000,1,10,2.4114896544121662,0.7408374083740837,0.2707427074270743,0.34901168373879643,0.18212,0.8178799999999999,0.7188145494211023,65232829.78210782
uniform_32bit,100000,4,10,0.9033047332257518,0.36550365503655036,0.0,0.0,0.99999,9.99999999995449e-06,0.7144766447664477,1434649216.9384093
sequential_ids,100000,1,5,0.5210541044776913,4.000040000400004e-05,1.0,0.0,1.0,0.0,0.20001800018000182,1.0
low_entropy_repeating,100000,1,1,-0.0,0.0,1.0,0.9375,4e-05,0.99996,0.0125,1.4999849998499986
