prototype_a,prototype_b,feature_distance,feature_similarity,same_policy,usage_balance,redundancy_score,merge_recommended
low_entropy_repeating,sequential_ids,1.6520593209688326,0.3043883677307285,False,0.9625,0.34222743902497355,False
low_entropy_repeating,uniform_32bit,2.374973684064731,0.0,False,0.9583333333333334,0.14375,False
low_entropy_repeating,zipfian_smallints,1.476719336908676,0.3782165474855732,False,0.9541666666666666,0.38896575586562254,False
low_entropy_repeating,clustered_ranges,2.0432327327056994,0.13968194830321734,False,0.9875,0.2389182663970913,False
low_entropy_repeating,learned_drift_prototype,1.454750837772572,0.38746654435227745,False,0.9125,0.38872825382898035,False
sequential_ids,uniform_32bit,1.3777517918696387,0.4198875544963354,False,0.9208333333333334,0.411051910422618,False
sequential_ids,zipfian_smallints,1.5238110119040353,0.35838825409801756,True,0.9166666666666666,0.5704523651637115,True
sequential_ids,clustered_ranges,1.760937250443638,0.25854452103662007,False,0.975,0.314303938673803,False
sequential_ids,learned_drift_prototype,1.1147196957082979,0.530639137945953,False,0.875,0.47616543966486946,False
uniform_32bit,zipfian_smallints,1.2841339493993607,0.4593060302034231,False,0.9958333333333333,0.447923919632225,False
uniform_32bit,clustered_ranges,1.0899082530194915,0.5410861769406513,False,0.9458333333333333,0.4935810150114234,False
uniform_32bit,learned_drift_prototype,0.9963934965664921,0.5804612475279389,False,0.9541666666666666,0.5204248108931603,True
zipfian_smallints,clustered_ranges,0.698498389404013,0.7058921561570553,False,0.9416666666666667,0.6000799015020859,True
zipfian_smallints,learned_drift_prototype,0.5149757275833492,0.7831657120924489,False,0.9583333333333334,0.6528077128600918,True
clustered_ranges,learned_drift_prototype,0.8972736483370055,0.6221963829084054,False,0.9,0.5394276488904635,True
