predictive_action,windows,mean_probability,mean_pressure,mean_cgcs,mean_stability_gain,avoidable_fallback_rate
monitor,193,0.07428217494584703,0.3661756374739426,0.5257962463676437,0.007357512953367875,0.0
retain_compressed,26,0.03469466988642099,0.36585537164821424,0.758214690168034,0.060000000000000005,0.0
predictive_reroute,15,0.5820679261321166,0.6406793210317531,0.5008040434333502,0.21599999999999994,0.8666666666666667
protective_fallback,6,0.7518068127700314,0.7600371879375643,0.40773660268583845,0.09666666666666668,1.0
