,macro_0,macro_1,macro_2,macro_3,macro_4
macro_0,0.7128712871287128,0.039603960396039604,0.07920792079207921,0.04950495049504951,0.1188118811881188
macro_1,0.21875,0.09375,0.21875,0.25,0.21875
macro_2,0.22857142857142856,0.2571428571428571,0.08571428571428572,0.17142857142857143,0.2571428571428571
macro_3,0.19230769230769232,0.19230769230769232,0.3076923076923077,0.11538461538461539,0.19230769230769232
macro_4,0.2222222222222222,0.24444444444444444,0.17777777777777778,0.08888888888888889,0.26666666666666666
