policy,windows,mean_constraint_score,mean_regret,mean_recovery_score,mean_route_persistence,mean_route_volatility,mean_memory_quality,mean_recommendation_score
cgcs_balanced,240,0.5949813159371564,0.13446608591160242,0.5348828605457965,0.5274649081503557,0.5386050271292612,0.44046623519744627,0.4223668938239454
conservative_predictive,240,0.5727315982003931,0.16834890909728775,0.44860362148184485,0.5161864935035633,0.5477802414528595,0.4264448997094851,0.38589832092341037
predictive,240,0.537906456292119,0.19814249632169115,0.38276653595631344,0.39861575802606314,0.6637868437754153,0.41601734534318974,0.32870774364226857
aggressive_predictive,240,0.5058734038102517,0.2104741724999733,0.2838680796139349,0.31487816730229923,0.7453616899419304,0.4015990482948644,0.27556366992342657
reactive,240,0.4602226169634178,0.2823354097983362,0.2189423041960262,0.4277363410648178,0.6308405198009707,0.3905124057719232,0.2521320876225209
