prototype,first_seen,last_seen,age,recency_gap,usage_count,usage_rate,mean_residual,mean_drift_score,policy_switch_rate,usage_score,recency_score,residual_quality_score,drift_quality_score,policy_stability_score,memory_stability_score,memory_status,age_decay,reinforced_weight,effective_memory_weight,memory_action
low_entropy_repeating,23,215,197,4,37,0.16818181818181818,0.48020290587810455,0.061630273223503514,0.02702702702702703,0.3666666666666667,0.9459459459459459,0.0179647084375405,1.0,0.5549549549549548,0.5555749236694901,retain,0.9231163463866358,0.7283589584846466,0.6246885375955527,retain
sequential_ids,3,218,217,1,26,0.11818181818181818,0.47961984486325904,0.0831649459255775,0.038461538461538464,0.0,0.9864864864864865,0.01969622858879272,0.8685706091808173,0.0,0.38084645871650274,refresh,0.9801986733067553,0.6371291376493909,0.483359530289658,refresh
uniform_32bit,6,219,214,0,38,0.17272727272727273,0.47203893897475335,0.07451256509173144,0.02631578947368421,0.4000000000000001,1.0,0.042209294934296815,0.921377408608906,0.5894736842105264,0.5755958386992479,retain,1.0,0.79,0.6613575032195488,retain
zipfian_smallints,0,214,220,5,34,0.15454545454545454,0.4862522268319619,0.0765295626779598,0.029411764705882353,0.26666666666666666,0.9324324324324325,0.0,0.9090673648153812,0.4392156862745099,0.49338978145786627,retain,0.9048374180359595,0.681477655056707,0.5686249308974025,retain
clustered_ranges,2,213,218,6,29,0.1318181818181818,0.4836248831685415,0.07494663998710058,0.034482758620689655,0.09999999999999994,0.9189189189189189,0.007802439850454812,0.9187281833405428,0.19310344827586212,0.41840979002848827,retain,0.8869204367171575,0.6114982838661525,0.4956451875635539,retain
learned_drift_prototype,90,145,130,74,56,0.2545454545454545,0.1495186263457893,0.22548002226252054,0.017857142857142856,1.0,0.0,1.0,0.0,1.0,0.6,refresh,0.22763768838381274,0.49796449744947824,0.5591857989797913,refresh
