policy,windows,mean_stability,std_stability,mean_constraint_score,mean_cost,mean_regret,fallback_rate,reroute_rate,watch_rate,accepted_rate,mean_switch_rate
cgcs_balanced,9600,0.5884809729847343,0.12058073044250443,0.6265137213734302,0.20852149788361476,0.10673583333333334,0.06197916666666667,0.424375,0.39979166666666666,0.11385416666666667,0.45815447486541233
predictive,9600,0.5956705563180676,0.1313424762236741,0.6246551797067635,0.2384479562169481,0.13666229166666666,0.09354166666666666,0.44885416666666667,0.3461458333333333,0.11145833333333334,0.46571245334526584
conservative_predictive,9600,0.5642330563180676,0.11474545110934131,0.6227208047067635,0.13813962288361473,0.03635395833333333,0.022604166666666668,0.1934375,0.6834375,0.10052083333333334,0.36431106913919414
aggressive_predictive,9600,0.592403889651401,0.1549277926901334,0.6106297630400968,0.3525425395502814,0.250756875,0.17833333333333334,0.6290625,0.11447916666666667,0.078125,0.4329449312261812
reactive,9600,0.5097434729847343,0.18059624536324417,0.5849405963734301,0.20083024788361475,0.09904458333333334,0.12916666666666668,0.0,0.7333333333333333,0.1375,0.2590965515965516
